Country,Emissions Classifier,Emissions Percentile,2019 CO2 Level (Training Data),CO2Avg (Metric Tons/Capita),CO2Growth Avg.,GDP Avg. (Billion $),GDP Growth Avg.,Population Avg. (million),Population Growth Avg.,HDI Avg.,HDI Growth Avg.,"Average % of GDP of Ag, For, Fish(Agriculture)","Average % of GDP of Ag, For, Fish(Agriculture) Growth Rate Avg.",Export Fuel and Mining Avg.,Export Fuel and Mining Growth Rate Avg.,Export Manufactures Avg.,Export Manufactures Growth Rate Avg.,Import Fuel and Mining Avg.,Import Fuel and Mining Growth Avg.,Import Manufactures Millions($) Avg.,Import Manufactures Millions($) Growth Avg.,Inflation Rate Avg.,Inflation Rate Growth Rate Avg.
Niger,Low,0.042,0.102212,0.099,0.0096,527.49,0.0028,20.82,0.0393,0.7636,0.005011,0.84652,0.029931,546.4,-14.52%,131.2,27.46%,112.4,5.82%,1269.8,10.05%,118.23%,-98.09%
Nigeria,Low,0.221,0.665431,0.62,0.0044,2391.76,-0.084,186.05,0.0266,0.9502,0.002531,0.2427,0.003939,51802.4,-0.17%,2638.8,60.15%,9661,11.29%,22842.4,2.87%,1227.31%,11.89%
Nicaragua,Low,0.258,0.799632,0.825,0.0157,2053.04,0.0199,6.3,0.013,0.528,0.00572,-0.27737,-0.01551,51,1.73%,2121.6,1.89%,860.2,3.77%,4535.8,9.78%,447.09%,-4.65%
Netherlands,Medium,0.895,8.795786,9.078,-0.0134,49117.38,-0.0005,17.04,0.005,0.6556,0.006201,-0.01753,-0.01812,109629.2,-2.13%,419569.2,4.38%,117495,-1.42%,369987.4,4.92%,99.56%,42.55%
Norway,Medium,0.826,7.115386,7.235,-0.0137,79919.96,-0.0544,5.23,0.009,0.542,0.010859,0.08403,0.059122,74088.6,-2.54%,21525.4,-4.22%,8475.2,3.39%,63306.4,-0.16%,248.06%,13.28%
Nepal,Low,0.137,0.395543,0.335,0.1099,974.62,0.0677,27.38,0.0086,0.923,0.003046,-1.02544,-0.05098,18,0.68%,511,-1.86%,1807.6,15.82%,5447,19.90%,654.23%,-9.69%
New Zealand,Medium,0.816,6.665859,6.81,-0.0174,41916.62,-0.0014,4.69,0.0174,0.3784,0.018367,0.1751,-0.06619,1869.2,-4.69%,7549.8,-1.92%,5175.4,0.01%,29371.6,3.34%,112.31%,45.12%
Oman,High,0.958,15.35538,15.542,-0.0131,18902.43,-0.0536,4.45,0.0511,0.8222,0.00025,0.14734,0.077086,28811.2,-1.75%,6781.6,18.22%,3761.6,-13.81%,18138.2,-1.62%,93.51%,300.45%
Pakistan,Low,0.274,0.94282,0.885,0.0501,1384.68,0.0395,203.69,0.021,0.7032,0.003714,-0.17778,-0.00845,766.2,5.91%,17036.4,-1.14%,14980.4,6.25%,28136,9.35%,452.95%,2.06%
Panama,Medium,0.521,2.520392,2.636,-0.0274,14292.35,0.0521,4.04,0.0172,0.5474,0.004441,-0.12028,-0.05571,32.6,110.66%,10515.6,-7.39%,2421.4,3406.66%,17538,-0.77%,102.82%,62.76%
Peru,Low,0.395,1.708465,1.753,0.0032,6555.06,0.0046,30.98,0.0145,0.704,0.005724,0.01195,0.005532,20752.4,5.03%,4296.6,-1.50%,5767.2,3.76%,29058.6,-0.75%,297.43%,-7.57%
Philippines,Low,0.337,1.274707,1.198,0.0578,3081.94,0.0245,103.62,0.0153,0.868,0.00486,-0.52431,-0.05347,4397.6,0.56%,51211.6,4.81%,13124,4.61%,64074.6,14.98%,271.81%,50.85%
Palau,High,0.942,15.44939,14.193,0.0487,15667.89,0.0437,0.02,0.0034,0.8044,0.005257,0.03409,-0.01759,0,0,4.4,0,35,-4.59%,82.8,0.72%,152.52%,-89.90%
Poland,Medium,0.863,8.091808,7.899,0.0093,13726.08,0.0202,37.98,-0.0003,0.8548,0.004722,-0.10195,-0.06646,14141.8,-2.66%,177498,6.36%,25434.2,3.79%,172301.2,6.93%,48.08%,-453.52%
Portugal,Medium,0.7,4.755669,4.794,0.0147,21256.69,0.0134,10.33,-0.0033,0.8424,0.000728,-0.00792,-0.00586,5834,-2.80%,45951.4,3.11%,11889.2,-2.27%,51570.2,6.60%,63.59%,-70.87%
Paraguay,Low,0.316,1.138981,1.047,0.0758,5663.67,-0.0074,6.78,0.0133,0.7644,0.00555,-0.36917,-0.0577,2204.4,-1.31%,913,7.20%,1630.2,3.14%,8754.4,2.68%,396.45%,15.74%
Qatar,High,1,32.47122,32.377,0.003,65818.65,-0.0622,2.64,0.0356,0.818,0.003687,0.02022,0.147335,72165,-5.00%,6998.8,3.34%,2339,4.08%,24478.8,1.84%,169.82%,-22.96%
Romania,Medium,0.589,3.793471,3.701,0.0126,10353.48,0.047,19.7,-0.0052,0.8148,0.005185,-0.07616,-0.04714,4784.2,0.38%,55469.6,5.42%,7843.6,3.98%,64154.8,6.80%,97.88%,-2.01%
Russian Federation,High,0.911,11.13584,10.898,-0.0037,10824.25,-0.0957,144.25,0.0014,0.5298,0.009535,0.00673,0.021073,248409.6,-3.99%,79678.4,1.37%,8106.8,0.60%,180731.6,-2.73%,739.24%,-1.96%
Rwanda,Low,0.037,0.084849,0.084,0.0371,759.07,0.0159,11.68,0.0262,0.77,0.002348,-0.01732,-0.00357,280.6,6.62%,121.4,42.79%,425,63.96%,1319.2,-1.90%,400.51%,8.50%
Saudi Arabia,High,0.979,15.68766,16.764,-0.018,21822.08,-0.0172,32.38,0.0232,0.6092,0.014051,-0.00051,0.001386,198036.8,-1.44%,45965,3.57%,8004.6,0.55%,109475.8,-4.98%,142.62%,-109.00%
Sudan,Low,0.174,0.46732,0.471,0.0392,1091.12,-0.1073,39.87,0.0243,0.9396,0.002135,-2.12616,-0.07247,669.4,-12.96%,117,-12.19%,621.8,74.59%,5629,-1.06%,3344.21%,25.95%
Senegal,Low,0.232,0.618449,0.629,0.0126,1341.12,0.009,15,0.0284,0.8552,0.00214,0.32375,0.016948,621.8,10.62%,849.4,5.30%,1722.8,8.11%,3154.8,6.42%,33.23%,29.15%
Singapore,Medium,0.879,8.344984,8.286,0.0063,59582.57,0.0301,5.57,0.0087,0.438,0.006487,-0.00088,-0.0267,54390.8,-3.14%,278330.4,1.03%,82831.8,-1.34%,220069.8,1.77%,19.70%,-87.56%
Solomon Islands,Low,0.2,0.56922,0.558,-0.0434,2282.44,0.0134,0.62,0.027,0.9014,0.004224,0,0,9.4,426.67%,18.2,120.85%,91,-6.82%,245.8,34.20%,181.08%,59.83%
Sierra Leone,Low,0.063,0.140296,0.139,-0.0387,567,-0.0662,7.33,0.0219,0.7854,0.003855,1.42838,0.038814,304.8,0,61.6,0,125.2,0,758.4,0,1129.50%,29.25%
El Salvador,Low,0.321,1.057869,1.068,0.0034,3812.7,0.0284,6.36,0.0049,0.6696,0.000003,-0.14682,-0.0192,228.6,8.04%,4255.2,2.44%,1661.6,0.53%,6830.6,1.53%,62.33%,-44.15%
Serbia,Medium,0.805,6.303565,6.31,-0.0032,6299.84,0.0085,7.06,-0.0051,0.5084,0.008757,-0.14462,-0.03363,1357.8,2.15%,10891,7.14%,3457,4.60%,13178.6,4.21%,193.76%,3.22%
Sao Tome and Principe,Low,0.216,0.653345,0.619,0.0112,1764.53,0.0402,0.2,0.019,0.7078,0.002562,-0.0521,-0.01693,0,0,1,0,22,173.17%,68.8,2.71%,624.67%,1.53%
Suriname,Medium,0.647,3.843266,4.225,-0.0358,7549.32,-0.0854,0.56,0.0103,0.948,0.001903,0.12962,0.030608,142.4,-2.03%,31.6,4.10%,170.8,-34.20%,824,-9.56%,2192.17%,144.63%
Slovak Republic,Medium,0.747,5.970805,5.864,-0.002,17668.59,0.0093,5.43,0.0012,0.9322,0.00324,-0.12069,-0.01733,4667.4,-5.69%,74292.6,3.04%,8712.6,-3.88%,66264,4.58%,58.09%,4.16%
Slovenia,Medium,0.811,6.697169,6.627,-0.0105,23264.08,0.0168,2.07,0.0014,0.8526,0.003058,0.04569,0.021249,3294.8,4.47%,30432,6.18%,5150.4,0.95%,25538.2,7.31%,55.73%,-643.73%
Sweden,Medium,0.616,3.636916,3.858,-0.0363,54382.31,-0.0252,9.93,0.0117,0.5496,-0.010328,-0.0101,-0.0107,17908.4,1.24%,115946.8,0.20%,20888,0.42%,112816.6,2.24%,90.12%,-376.21%
Eswatini,Low,0.284,0.942759,0.96,-0.1139,3833.07,-0.0095,1.11,0.0089,0.8806,0.004562,-0.14265,-0.03577,28.8,-15.01%,1191.4,2.22%,227,3.75%,1036,2.26%,590.33%,0.68%
Seychelles,Medium,0.737,6.132995,5.731,0.0657,15290.88,0.0156,0.09,0.0147,0.7938,0.006347,-0.06747,-0.05925,154.4,5.73%,56.8,66.79%,224,4.85%,561.6,10.28%,219.44%,-70.65%
Syrian Arab Republic,Low,0.358,1.607023,1.552,0.0087,993.95,0.0114,17.63,-0.0289,0.517,0.010656,2.4243,0.079876,49.75,0,119.25,0,133.25,0,3647.75,0,0,0
Togo,Low,0.121,0.273727,0.267,0.017,749.45,0.0617,7.51,0.0255,0.7918,0.003052,-1.04888,-0.14081,164.8,9.39%,429.8,-3.61%,286.8,6.00%,1151.2,-3.32%,80.16%,148.59%
Thailand,Medium,0.605,3.727119,3.774,-0.0074,6335.19,0.0315,68.95,0.0037,0.502,0.00886,-0.38104,-0.06832,12254.6,-0.26%,171731.2,2.56%,43394,0.29%,149922.4,1.24%,58.25%,6.39%
Tajikistan,Low,0.242,0.752662,0.663,0.1292,918.31,-0.0472,8.67,0.0246,0.7568,0.010147,-0.80036,-0.01745,630,0,143,0,626.3333333,0,1605.666667,0,594.12%,0
Timor-Leste,Low,0.179,0.494057,0.503,0.0403,1293.53,0.0054,1.22,0.0191,0.719,0.004228,-0.72157,-0.04357,1,0,2,0,75,0,270.3333333,0,56.85%,-48.10%
Tonga,Low,0.347,1.690655,1.454,0.0769,4420.5,0.0125,0.1,0.0028,0.7316,0.004116,0.14258,-0.00082,0.6,0,2.2,10.00%,17.8,79.91%,123,10.14%,331.68%,-20.87%
Trinidad and Tobago,High,0.937,13.44075,14.152,-0.0577,17589.53,-0.0363,1.38,0.0053,0.8072,0.008029,0.06042,0.056493,5400.2,-5.67%,4610.4,-4.89%,2678.6,-16.55%,4669.8,-0.37%,326.31%,-25.48%
Tunisia,Medium,0.505,2.594995,2.606,0.0112,3986.38,-0.0395,11.31,0.0109,0.6986,0.0072,0.26874,0.040865,1389.6,-13.02%,11700,0.02%,3897.6,-0.75%,14938,-0.29%,506.18%,9.73%
Turkey,Medium,0.695,4.894487,4.745,0.0346,10820.58,-0.0603,79.8,0.0163,0.5286,0.009565,-0.15624,-0.03073,10912.2,1.16%,122072.2,4.09%,51303.8,1.89%,141902.8,-1.07%,1035.55%,19.21%
Tanzania,Low,0.089,0.207422,0.212,-0.0177,998.45,0.013,53.1,0.0304,0.6052,-0.01,0.4132,0.007245,434.6,-22.31%,1224.2,60.30%,2263.6,-14.80%,5954.4,0.30%,514.15%,-13.97%
Uganda,Low,0.053,0.140453,0.137,0.0345,796.96,-0.0131,39.73,0.0366,0.9252,0.001518,-0.32259,-0.02348,154,63.57%,604.6,-5.46%,1214.6,2.95%,3609.6,2.96%,443.91%,-2.11%
Ukraine,Medium,0.653,4.373041,4.4,-0.0795,2630.38,-0.0925,44.98,-0.0038,0.9224,0.001521,-0.00302,0.023527,4966.4,-4.48%,21269.2,-7.02%,13024.6,-4.43%,29178.2,-0.56%,2001.49%,-988.09%
Uruguay,Low,0.421,1.894499,1.882,-0.0305,17311.22,0.0172,3.42,0.0035,0.7558,-0.011572,-0.18079,-0.06286,104.6,48.64%,1699,-5.05%,1288.8,-6.83%,6501.2,-4.74%,820.15%,-0.16%
United States,High,0.947,15.39798,15.348,-0.0113,58621.77,0.0337,322.71,0.0067,0.5988,0.003353,-0.053,-0.0784,177845,7.21%,1017409.8,0.66%,283921.2,-4.24%,1845321.2,4.15%,151.50%,193.01%
Uzbekistan,Medium,0.558,3.406375,3.376,-0.0203,2320.19,-0.1009,31.85,0.0173,0.692,0.00552,-0.38711,-0.00835,3117.5,0,2655.5,0,1183.5,0,11569.5,0,0,0
St. Vincent and the Grenadines,Low,0.479,2.565239,2.429,0.026,7051.01,0.0204,0.11,0.0029,0.7352,0.000012,0.12845,0.021348,0,0,11.4,6.62%,50,3.19%,193.6,-0.60%,55.76%,-538.52%
"Venezuela, RB",Medium,0.721,5.080074,5.464,-0.0571,3211.13,0,29.65,-0.0062,0.5722,0.008827,-1.00535,0,39385.8,-13.95%,1163.8,-21.80%,2508.2,48.23%,14801.8,-33.00%,14628.51%,0
Vietnam,Low,0.463,2.526623,2.307,0.0865,2247.9,0.0595,93.63,0.0103,0.558,0.01165,-0.60344,-0.04129,7091.2,-5.35%,153907.6,15.82%,17767.8,12.69%,147336.2,12.63%,288.88%,46.52%
Samoa,Low,0.342,1.52377,1.408,0.0819,4113.05,0.0069,0.19,0.0056,0.7502,0.007022,0.05982,-0.00276,13.6,-4.77%,13.4,-24.20%,66.2,-0.26%,191.2,1.53%,151.39%,-38.14%
"Yemen, Rep.",Low,0.195,0.468211,0.532,-0.2991,1230.19,-0.1724,27.16,0.0253,0.8876,0.00317,-0.56369,-0.09807,1860.6,3.06%,168.6,-1.24%,462.2,225.57%,3615.8,-10.48%,810.47%,0
South Africa,Medium,0.853,7.639948,7.716,-0.0169,6540.33,-0.0176,56.18,0.0148,0.7018,0.006352,0.0299,0.030506,29490,-0.25%,39321.2,0.93%,17511.4,-0.28%,55745.2,-2.02%,538.51%,-1.71%
Zambia,Low,0.153,0.419191,0.367,0.0849,1486.62,-0.0549,16.37,0.0306,0.742,0.00625,-0.68769,-0.22529,6104.6,1.83%,1024,-1.44%,2580.4,1.22%,5317,-1.23%,997.18%,13.78%
Zimbabwe,Low,0.263,0.858686,0.829,-0.0226,1366.88,-0.0293,14.02,0.0158,0.6226,0.011429,0.35513,0.067696,1037.4,8.35%,445.8,4.99%,1637,2.30%,3166,-0.92%,146.81%,382.09%
